pdf_path,relative_path,top_category,second_category,bytes,last_write_time,sample_pypdf_status,sample_pypdf_pages,sample_pypdf_error
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제2차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제2차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,434910,2023-03-27T00:29:44,OK,11,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32082,2023-03-27T00:29:50,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제3차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제3차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,429522,2023-03-27T00:39:20,OK,13,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제3차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2013년도_제3차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32079,2023-03-27T00:39:28,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제1차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제1차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,406055,2023-04-05T18:33:16,OK,11,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제1차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제1차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,254643,2023-03-22T17:15:54,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제2차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제2차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,431030,2023-04-05T18:45:20,OK,12,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32034,2023-03-27T18:51:00,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제3차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제3차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,413238,2023-03-30T00:10:30,OK,11,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제3차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2014년도_제3차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32434,2023-03-27T19:13:50,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2015년도_제1차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2015년도_제1차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,438631,2023-04-05T19:02:14,OK,12,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2015년도_제3차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2015년도_제3차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,427734,2023-04-05T19:19:26,OK,12,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2016년도_제1차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2016년도_제1차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,270235,2023-03-22T17:49:44,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2016년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2016년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32036,2023-04-05T21:58:46,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2016년도_제3차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2016년도_제3차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32450,2023-04-05T23:20:36,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2017년도_제1차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2017년도_제1차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,430172,2023-04-06T00:24:32,OK,13,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2017년도_제1차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2017년도_제1차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32087,2023-04-06T00:24:24,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2017년도_제2차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2017년도_제2차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,412396,2023-04-06T00:37:36,OK,7,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2017년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2017년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32082,2023-04-06T00:37:22,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2017년도_제3차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2017년도_제3차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,32487,2023-04-06T00:44:54,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2020년도_제1차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2020년도_제1차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,420234,2023-04-06T18:57:30,OK,12,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2020년도_제1차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2020년도_제1차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,31774,2023-04-06T18:57:02,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2020년도_제2차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2020년도_제2차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,459705,2023-03-27T23:59:58,OK,15,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2020년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2020년도_제2차_변호사시험_모의시험_공법_선택형_정답표.pdf,3.공법,기출,31441,2023-03-28T00:00:48,OK,1,
H:\내 드라이브\3.공법\기출\변호사시험\기출\모의고사\1._2020년도_제3차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법\기출\변호사시험\기출\모의고사\1._2020년도_제3차_변호사시험_모의시험_공법_선택형_문제.pdf,3.공법,기출,447779,2023-03-28T00:10:22,OK,15,
H:\내 드라이브\4.선택법\법조윤리\기출\법조윤리_한권탁_2024_기말고사_문제.pdf,4.선택법\법조윤리\기출\법조윤리_한권탁_2024_기말고사_문제.pdf,4.선택법,법조윤리,196732,2026-01-04T17:40:08,OK,8,
H:\내 드라이브\4.선택법\법조윤리\기출\법조윤리_한권탁_2024_기말고사_정답_및_해설.pdf,4.선택법\법조윤리\기출\법조윤리_한권탁_2024_기말고사_정답_및_해설.pdf,4.선택법,법조윤리,177830,2026-01-04T17:40:08,OK,14,
H:\내 드라이브\4.선택법\법조윤리\기출\법조윤리_한권탁_2024_중간고사_문제.pdf,4.선택법\법조윤리\기출\법조윤리_한권탁_2024_중간고사_문제.pdf,4.선택법,법조윤리,210245,2026-01-04T17:40:08,OK,8,
H:\내 드라이브\4.선택법\법조윤리\기출\법조윤리_한권탁_2024_중간고사_정답_및_해설.pdf,4.선택법\법조윤리\기출\법조윤리_한권탁_2024_중간고사_정답_및_해설.pdf,4.선택법,법조윤리,153156,2026-01-04T17:40:08,OK,12,
H:\내 드라이브\4.선택법\법조윤리\기출\법조윤리_한권탁_2025_기말고사_문제.pdf,4.선택법\법조윤리\기출\법조윤리_한권탁_2025_기말고사_문제.pdf,4.선택법,법조윤리,201762,2026-02-03T02:01:20,OK,8,
H:\내 드라이브\4.선택법\법조윤리\기출\법조윤리_한권탁_2025_기말고사_해설.pdf,4.선택법\법조윤리\기출\법조윤리_한권탁_2025_기말고사_해설.pdf,4.선택법,법조윤리,153706,2026-02-03T02:18:04,OK,12,
H:\내 드라이브\4.선택법\보관\박재원_지적재산법\기출\지적재산법_박재원_2024_중간고사_문제.pdf,4.선택법\보관\박재원_지적재산법\기출\지적재산법_박재원_2024_중간고사_문제.pdf,4.선택법,보관,1740239,2026-01-01T23:05:24,OK,4,
H:\내 드라이브\5.기타\2004헌나1.pdf,5.기타\2004헌나1.pdf,5.기타,2004헌나1.pdf,1023986,2026-03-08T22:19:52,OK,61,
