pdf_path,relative_path,top_category,second_category,bytes,last_write_time,full_pypdf_status,full_pypdf_pages,full_pypdf_error,full_pypdf_elapsed_ms,current_exists,review_status,fitz_ok,fitz_pages,fitz_error,review_note
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_16.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_16.pdf,1.민사,기출,267054,2023-04-05T20:29:42,OK,23,,150,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_17.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_17.pdf,1.민사,기출,216113,2023-04-06T00:30:30,OK,13,,115,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_18.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_18.pdf,1.민사,기출,272634,2023-04-06T00:59:24,OK,16,,113,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_19.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_19.pdf,1.민사,기출,330385,2023-04-06T17:41:46,OK,28,,6492,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_20.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_20.pdf,1.민사,기출,317497,2023-03-27T23:58:22,OK,35,,164,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_21.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_21.pdf,1.민사,기출,298375,2023-04-06T22:00:22,OK,35,,162,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_22.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_채점기준표_22.pdf,1.민사,기출,281287,2023-04-06T22:51:18,OK,31,,16104,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_13.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_13.pdf,1.민사,기출,495856,2023-03-27T00:21:54,OK,17,,110,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_14.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_14.pdf,1.민사,기출,487299,2023-04-05T18:37:06,OK,17,,408,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_15.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_선택형_문제_15.pdf,1.민사,기출,478309,2023-04-05T19:08:20,OK,17,,243,True,OK,,,,
